consumer_county,commodity,primary_producer_county
Nairobi,Maize,Nakuru
Nairobi,Maize (white),Nakuru
Nairobi,"Maize (white, dry)",Nakuru
Nairobi,Beans,Nakuru
Nairobi,Beans (dry),Nakuru
Nairobi,Beans (rosecoco),Nakuru
Nairobi,Potatoes (Irish),Nakuru
Nairobi,Cabbage,Nakuru
Turkana,Maize,Trans Nzoia
Turkana,Maize (white),Trans Nzoia
Turkana,"Maize (white, dry)",Trans Nzoia
Turkana,Beans,Trans Nzoia
Turkana,Beans (dry),Trans Nzoia
Turkana,Sorghum,Trans Nzoia
Mombasa,Maize,Uasin Gishu
Mombasa,Maize (white),Uasin Gishu
Mombasa,"Maize (white, dry)",Uasin Gishu
Mombasa,Beans,Uasin Gishu
Mombasa,Beans (dry),Uasin Gishu
Mombasa,Beans (yellow),Uasin Gishu
Mombasa,Potatoes (Irish),Nakuru
